source;translation;type;module;status;customer
"Test mail scheduled, check outbox if it was sent.";"Test mail gepland, controleer outbox of het verzonden is.";S;;T;N
"Failed to restart %s row(s)";"Fout bij opnieuw starten van %s rij(en)";S;;T;N
"%s row(s) successfully restarted";"%s rij(en) succesvol opnieuw gestart";S;;T;N
"To recipients";"Aan ontvangers";S;;T;N
"Mail subject";"Mail onderwerp";S;;T;N
"Scheduled at";"Gepland op";S;;T;N
"Last retry";"Laatste poging";S;;T;N
"Retry number";"Herhaalnummer";S;;T;N
"Error message";"Foutbericht";S;;T;N
"Account name";"Accountnaam";B;;T;N
"Server Date";"Server datum";S;;T;N
"Server Time";"Server tijd";S;;T;N
"Mail template not defined in database for class %s";"Mail sjabloon niet gedefinieerd in de database voor klasse %s";S;;T;N
"Recipients empty";"Ontvangers leeg";S;;T;N
"Body of mail not specified";"Tekshoofd van de mail niet gespecificeerd";S;;T;N
"From address is empty";"Afzendadres is leeg";S;;T;N
"Failed to init mail headers";"Fout bij mail headers";S;;T;N
"Email transfer method error";"Emailadres overdrachtsmethode fout";S;;T;N
"Application Title";"Post Affiliate  Pro";S;;T;N
"Failed to save settings with error %s";"Fout bij opslaan instellingen met foutcode %s";S;;T;N
"Proxy server settings saved.";"Proxyserverinstellingen opgeslagen.";S;;T;N
"Failed to load proxy server settings.";"Fout bij laden proxyserverinstellingen.";S;;T;N
"Pdf saved";"Pdf opgeslagen";S;;T;N
"Path to save file '%s' not exist";"Map op te slaan bestand '%s' bestaat niet";S;;T;N
"Path to save file %s is null";"Map op te slaan bestand %s is ongeldig";S;;T;N
"Unable to create file %s%s.pdf";"Kan bestand %s%s.pdf niet aanmaken";S;;T;N
"Pdf output: %s";"Pdf-uitgave: %s";S;;T;N
"Role";"Regels";B;;T;N
"Logged in";"Aangemeld";S;;T;N
"Last Request";"Laaste verzoek";S;;T;N
"entries";"vermeldingen";S;;T;N
"SettingsImportExportDescription";"Alle systeeminstellingen";B;;T;N
"Undefined table name";"Geen tabelnaam";S;;T;N
"Undefined $option";"Geen $option";S;;T;N
"Table alias must by defined";"Tabel alias moet gedefineerd worden";S;;T;N
"equals";"gelijk";S;;T;N
"not equals";"niet gelijk";S;;T;N
"is like";"is als";S;;T;N
"is not like";"is niet hetzelfde als";S;;T;N
"is greater";"is groter";S;;T;N
"is lower";"is kleiner";S;;T;N
"is greater or equal";"is groter of gelijk";S;;T;N
